"Whole country","Age",70~79 years old,100.0,74.2,25.8,2.5,61.6,38.4,2.8
"Whole country","Age",80 years old and over,100.0,68.8,31.2,2.2,49.1,50.9,2.3
"Whole country","Age",60 years old and over,100.0,75.3,24.7,2.7,65.9,34.1,3.0
"Whole country","Age",60~64 years old,100.0,78.5,21.5,3.1,73.5,26.5,3.4
"Whole country","Age",65 years old and over,100.0,73.8,26.2,2.5,62.3,37.7,2.8
"Whole country","Age",65~69 years old,100.0,76.7,23.3,2.8,72.3,27.7,3.2
"Whole country","Educational Attainment",Elementary School Graduate & Under,100.0,69.2,30.8,2.4,60.5,39.5,3.2
"Whole country","Educational Attainment",Middle School Graduate,100.0,70.8,29.2,2.7,72.8,27.2,3.7
"Whole country","Educational Attainment",High School Graduate,100.0,76.1,23.9,3.0,77.4,22.6,3.7
"Whole country","Educational Attainment",College or University Graduate & Over,100.0,82.7,17.3,3.1,83.4,16.6,4.0
"Whole country","Marital Status",Never married,100.0,70.7,29.3,2.9,83.6,16.4,4.6
"Whole country","Marital Status",Married,100.0,81.5,18.5,3.0,76.5,23.5,3.6
"Whole country","Marital Status",Widowed,100.0,72.2,27.8,2.3,58.4,41.6,2.5
"Whole country","Marital Status",Divorced,100.0,72.5,27.5,2.7,72.0,28.0,3.1
"Whole country","Employment Status",Employed,100.0,80.3,19.7,3.0,80.3,19.7,3.8
"Whole country","Employment Status",Unemployed or Not Economically Active,100.0,73.3,26.7,2.8,73.1,26.9,3.8
"Whole country","Industry",Agriculture & Fishery,100.0,81.3,18.7,2.6,73.4,26.6,3.0
"Whole country","Industry",Mining & Manufacturing,100.0,78.4,21.6,3.0,77.7,22.3,3.7
"Whole country","Industry",Social overhead capital & other service,100.0,80.6,19.4,3.1,81.3,18.7,3.9
"Whole country","Occupation",Pro. Tech. Managers,100.0,84.0,16.0,3.2,86.1,13.9,4.3
"Whole country","Occupation",Clerks,100.0,83.2,16.8,3.1,83.8,16.2,4.0
"Whole country","Occupation",Service & Sales Workers,100.0,80.8,19.2,3.0,81.6,18.4,3.8
"Whole country","Occupation",Agri. Fishery Workers,100.0,81.1,18.9,2.6,73.1,26.9,3.0
"Whole country","Occupation",Craft Operator Assemblers,100.0,75.1,24.9,2.9,74.0,26.0,3.5
"Whole country","Status of Worker",Wage and salary worker,100.0,80.0,20.0,3.1,80.8,19.2,3.9
"Whole country","Status of Worker",Employer,100.0,83.3,16.7,3.2,83.6,16.4,3.9
"Whole country","Status of Worker",Own account worker,100.0,79.8,20.2,3.0,77.9,22.1,3.5
"Whole country","Satisfaction with Life",Satisfied,100.0,83.1,16.9,3.2,84.1,15.9,4.2
"Whole country","Satisfaction with Life",Neither satisfied nor dissatisfied,100.0,76.8,23.2,2.8,75.7,24.3,3.6
"Whole country","Satisfaction with Life",Dissatisfied,100.0,69.5,30.5,2.8,69.6,30.4,3.5
"Whole country","Average Monthly Household Income",less than 1000 thousand won,100.0,68.3,31.7,2.3,57.9,42.1,2.9
"Whole country","Average Monthly Household Income",1000-2000 thousand won,100.0,73.4,26.6,2.6,68.9,31.1,3.2
"Whole country","Average Monthly Household Income",2000-3000 thousand won,100.0,76.9,23.1,2.9,77.2,22.8,3.6
"Whole country","Average Monthly Household Income",3000-4000 thousand won,100.0,79.1,20.9,3.0,80.4,19.6,3.8
"Whole country","Average Monthly Household Income",4000-5000 thousand won,100.0,80.0,20.0,3.0,83.5,16.5,4.1
"Whole country","Average Monthly Household Income",5000-6000 thousand won,100.0,81.3,18.7,3.2,83.3,16.7,4.2
"Whole country","Average Monthly Household Income",6000 thousand won and over,100.0,81.0,19.0,3.3,85.6,14.4,4.4
"Whole country","Age*Gender",13~19 years old*Male,100.0,67.2,32.8,3.1,84.1,15.9,5.6
"Whole country","Age*Gender",13~19 years old*Female,100.0,67.7,32.3,2.9,88.6,11.4,5.4
"Whole country","Age*Gender",20~29 years old*Male,100.0,73.1,26.9,3.0,84.3,15.7,4.6
"Whole country","Age*Gender",20~29 years old*Female,100.0,73.6,26.4,2.9,89.6,10.4,4.5
"Whole country","Age*Gender",30~39 years old*Male,100.0,77.1,22.9,3.0,77.7,22.3,4.1
"Whole country","Age*Gender",30~39 years old*Female,100.0,85.3,14.7,2.7,84.2,15.8,3.6
"Whole country","Age*Gender",40~49 years old*Male,100.0,78.6,21.4,3.0,77.4,22.6,3.7
"Whole country","Age*Gender",40~49 years old*Female,100.0,85.0,15.0,2.9,81.2,18.8,3.3
"Whole country","Age*Gender",50~59 years old*Male,100.0,76.4,23.6,3.2,76.0,24.0,3.8
"Whole country","Age*Gender",50~59 years old*Female,100.0,83.0,17.0,3.1,79.2,20.8,3.4
"Whole country","Age*Gender",60 years old and over*Male,100.0,71.9,28.1,2.9,66.0,34.0,3.4
"Whole country","Age*Gender",60 years old and over*Female,100.0,78.1,21.9,2.6,65.9,34.1,2.8
"Whole country","Age*Gender",65 years old and over*Male,100.0,70.8,29.2,2.7,62.9,37.1,3.2
"Whole country","Age*Gender",65 years old and over*Female,100.0,76.1,23.9,2.4,61.9,38.1,2.6
